mean,std,max
0.01631456485425638,0.03889519270485826,0.1601683558959106
0.021036172827840226,0.04732119755156427,0.4378567010474912
0.05616474369206825,0.06478026382045836,0.42209730113367927
0.04204111941643291,0.04425835648174732,0.1637457711277377
0.020897795409998872,0.03681477927046293,0.32279699767896464
0.10640839013727871,0.04346220796487149,0.2568634633340525
0.0863108180609457,0.05037768249754805,0.24176851227547846
0.05478042892584659,0.05914812134347061,0.2544183186094955
0.013813529080857475,0.03489873166404459,0.2517656474932024
0.028514237504710188,0.04028580313973796,0.3121290749154535
0.08051448362224736,0.0646896659419658,0.2692306334876
0.08095029599577672,0.04748790681882227,0.19060148485845163
0.0066623486366956105,0.022996304684099942,0.20301851227547907
0.028595272134802972,0.03953833438539949,0.438207192059747
0.029237147929778967,0.04952988249381775,0.27797746779364507
0.028839763217431758,0.048625574716329806,0.3524398548218217
0.05667707687608054,0.04611139718579781,0.22907275623413437
0.05140383231851747,0.03657973537505664,0.20513774323371914
0.039036034743354035,0.06970187769367155,0.4828348397388651
